Number,Spokesperson,Spokesperson.Attitude,Country,Knowledge.SD,Age.Group,Gender,Employment,City.size1,FAC.SCFM,Message.Sharing,Suport.SD,Current.Practice.SD,Future.Practice.SD,Num.Measures.SD,Age,Education,Household.Size,Settlement.Size,Concern.Situation,Concern.Others,Others.SD,Movement,Infection.percent,Subjective.Health,Satisfaction.Government,PH.vs.Economy,Religiosity,Q6.Self.Isolation,Q6.Quarantine.Zones,Q6.Closing.Borders,Q6.Meeting.Friends,Q6.Physical.Distance,Q6.Closing.Businesses,Q6.Public.Transportation,Q6.Canceling.Events,Q6.No.Workplace,Q6.Self.Isolation1,Q6.Quarantine.Zones1,Q6.Closing.Borders1,Q6.Meeting.Friends1,Q6.Physical.Distance1,Q6.Closing.Businesses1,Q6.Public.Transportation1,Q6.Canceling.Events1,Q6.No.Workplace1
6918,Government,Neutral,ES,No,Mid-Age,Female,Employed,Village,0.933,5,7,7,7,9,36,5,3,1,7,7,3,1,1,2,4,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6919,Government,Neutral,ES,Yes,Young,Female,Employed,Village,-0.109,2,6,6,7,5,27,6,3,1,6,7,4,2,1,4,4,4,1,Yes,No,Yes,No,No,Yes,Yes,Yes,No,1,0,1,0,0,1,1,1,0
6920,Government,Neutral,ES,Yes,Old,Male,Employed,Village,-1.595,4,5,5,4,5,53,3,4,1,5,6,3,1,1,3,3,3,2,Yes,No,No,No,Yes,Yes,Yes,Yes,No,1,0,0,0,1,1,1,1,0
6921,Government,Neutral,ES,Yes,Old,Female,Unemployed,Village,0.933,1,7,7,7,9,51,5,3,1,7,7,5,1,3,2,4,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6922,Government,Neutral,ES,Yes,Young,Female,Student,Village,0.82,1,7,7,7,8,20,4,4,1,7,7,2,1,1,3,1,1,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
6923,Government,Neutral,ES,Yes,Mid-Age,Female,Employed,Village,-0.657,1,2,7,7,7,37,3,2,1,5,5,3,1,2,4,2,3,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,1,1,1,1,1,1,0
6924,Government,Neutral,ES,Yes,Young,Male,Employed,Village,0.046,2,6,6,6,9,22,4,2,1,6,6,5,2,1,3,3,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6925,Government,Dislike,ES,Yes,Mid-Age,Female,Unemployed,Village,0.592,2,7,7,7,6,50,4,4,1,7,7,4,1,1,4,4,2,1,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,1,0,0,1,1,1,0,1,1
6926,Government,Dislike,ES,Yes,Young,Female,Student,Village,0.661,4,6,7,7,9,22,6,3,1,5,6,5,1,5,5,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6927,Government,Dislike,ES,Yes,Mid-Age,Female,Unemployed,Village,-0.604,3,7,7,3,6,44,6,4,1,7,7,1,1,3,3,1,1,7,Yes,No,Yes,No,Yes,Yes,Yes,Yes,No,1,0,1,0,1,1,1,1,0
6928,Government,Dislike,ES,Yes,Old,Male,Retired,Village,-0.022,3,7,6,6,6,66,6,2,1,5,6,6,1,1,3,1,2,6,No,Yes,Yes,Yes,Yes,Yes,No,Yes,No,0,1,1,1,1,1,0,1,0
6929,Government,Dislike,ES,Yes,Mid-Age,Male,Employed,Village,0.046,1,6,6,6,9,37,6,3,1,7,7,5,1,1,3,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6930,Government,Like,ES,Yes,Young,Female,Student,Village,0.706,5,7,7,7,7,27,6,1,1,5,7,4,5,4,4,7,7,2,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0,1,1,1,1,1,1
6931,Government,Neutral,ES,Yes,Old,Female,Unemployed,Village,0.592,4,7,7,7,6,57,6,2,1,7,7,5,1,2,5,5,5,7,Yes,Yes,No,Yes,No,Yes,Yes,Yes,No,1,1,0,1,0,1,1,1,0
6932,Government,Like,ES,Yes,Mid-Age,Female,Retired,Village,0.706,7,7,7,7,7,50,4,3,1,4,7,3,1,2,3,3,5,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1,1,1,0,1,1,1,1,0
6933,Government,Dislike,ES,Yes,Mid-Age,Female,Unemployed,Village,0.82,1,7,7,7,8,34,5,3,1,7,5,4,1,1,4,1,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
6934,Government,Dislike,ES,Yes,Old,Male,Employed,Village,-0.291,3,7,6,7,1,57,4,4,1,6,7,5,1,1,4,2,3,2,Yes,No,No,No,No,No,No,No,No,1,0,0,0,0,0,0,0,0
6935,Government,Like,ES,Yes,Old,Female,Employed,Village,0.661,6,6,7,7,9,54,4,3,1,7,7,5,1,5,3,4,7,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6936,Government,Dislike,ES,Yes,Young,Female,Employed,Village,0.592,6,7,7,7,6,25,5,2,1,6,7,5,1,1,3,2,4,3,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,1,0,1,1,1,1,0,1,0
6937,Government,Neutral,ES,Yes,Old,Male,Retired,Village,-0.022,4,7,6,6,6,66,5,5,1,6,7,5,1,2,4,5,4,6,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,1,0,0,1,1,1,1,1,0
6938,Government,Neutral,ES,Yes,Young,Female,Unemployed,Village,0.319,5,7,6,6,9,26,1,2,1,7,7,4,1,5,1,4,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6939,Government,Neutral,ES,Yes,Old,Female,Retired,Village,0.479,7,7,7,7,5,80,6,2,1,5,6,5,5,1,3,7,7,4,Yes,No,No,Yes,No,Yes,Yes,Yes,No,1,0,0,1,0,1,1,1,0
6940,Government,Neutral,ES,Yes,Old,Male,Employed,Village,0.933,7,7,7,7,9,51,4,2,1,7,7,2,1,2,5,5,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6941,Government,Neutral,ES,Yes,Mid-Age,Male,Employed,Village,0.504,5,7,6,7,8,43,6,2,1,6,6,4,1,1,3,3,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
6942,Government,Dislike,ES,Yes,Old,Male,Employed,Village,-0.068,5,6,6,6,8,52,5,4,1,6,7,4,2,1,2,2,4,4,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,0,1,1,1,1,1
6943,Government,Neutral,ES,Yes,Young,Male,Employed,Village,-0.896,3,4,7,4,8,25,5,2,1,4,6,3,1,1,4,4,2,1,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,1,1,1,1,0,1,1,1,1
6944,Government,Dislike,ES,Yes,Young,Female,Unemployed,Village,0.618,1,7,6,7,9,24,4,3,1,6,6,3,1,4,5,4,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6945,Government,Neutral,ES,Yes,Young,Male,Unemployed,Village,0.933,3,7,7,7,9,23,6,5,1,6,6,4,1,1,4,5,5,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6946,Government,Neutral,ES,Yes,Mid-Age,Female,Unemployed,Metropolitan,0.091,2,7,6,6,7,38,4,3,5,5,6,6,3,2,4,5,3,4,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,1,1,1,1,1,1,0,1,0
6947,Government,Neutral,ES,Yes,Young,Male,Unemployed,Metropolitan,0.82,4,7,7,7,8,25,3,6,5,7,7,3,1,4,3,2,4,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,1,1,1,0,1,1,1,1,1
6948,Government,Dislike,ES,Yes,Young,Female,Student,Metropolitan,0.073,1,5,6,7,9,24,6,4,5,5,5,4,1,3,3,5,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6949,Government,Neutral,ES,Yes,Young,Male,Unemployed,Metropolitan,0.933,1,7,7,7,9,20,4,2,5,7,7,4,1,1,5,2,2,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6950,Government,Neutral,ES,Yes,Mid-Age,Female,Unemployed,Metropolitan,-0.296,4,7,5,5,9,48,4,3,5,7,7,5,1,1,4,2,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6951,Government,Dislike,ES,Yes,Old,Female,Unemployed,Metropolitan,0.933,3,7,7,7,9,62,4,4,5,4,5,4,1,5,3,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6952,Government,Neutral,ES,Yes,Mid-Age,Female,Unemployed,Metropolitan,0.933,1,7,7,7,9,38,5,3,5,7,7,2,1,8,3,3,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6953,Government,Dislike,ES,Yes,Old,Male,Employed,Metropolitan,-0.408,4,6,6,6,5,55,6,2,5,6,7,6,1,3,4,1,1,7,Yes,No,Yes,No,Yes,Yes,No,Yes,No,1,0,1,0,1,1,0,1,0
6954,Government,Dislike,ES,Yes,Mid-Age,Female,Employed,Metropolitan,0.933,4,7,7,7,9,34,5,3,5,6,6,5,1,7,2,5,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6955,Government,Neutral,ES,Yes,Young,Female,Employed,Metropolitan,-0.841,4,5,5,5,9,25,6,1,5,5,6,2,1,4,4,3,2,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6956,Government,Like,ES,Yes,Old,Male,Unemployed,Metropolitan,0.933,7,7,7,7,9,62,4,2,5,7,7,3,1,4,5,5,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6957,Government,Dislike,ES,Yes,Mid-Age,Female,Employed,Metropolitan,0.18,2,7,7,6,5,39,6,5,5,6,7,3,1,2,5,2,7,7,No,Yes,Yes,No,Yes,No,Yes,Yes,No,0,1,1,0,1,0,1,1,0
6958,Government,Neutral,ES,Yes,Young,Female,Student,Metropolitan,0.433,6,6,7,7,7,23,5,5,5,5,6,5,1,3,4,4,4,2,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,0,1,1,0,1,1,1,1
6959,Government,Like,ES,Yes,Young,Male,Employed,Metropolitan,-0.181,4,6,6,6,7,25,4,6,5,6,7,4,1,1,3,2,5,1,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,1,0,1,1,0,1,1,1,1
6960,Government,Neutral,ES,Yes,Mid-Age,Female,Employed,Metropolitan,0.933,1,7,7,7,9,35,5,2,5,5,5,5,1,6,3,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6961,Government,Neutral,ES,Yes,Young,Female,Employed,Metropolitan,0.706,4,7,7,7,7,32,6,2,5,7,7,4,1,5,4,6,5,1,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0,1,1,1,1,1,1
6962,Government,Like,ES,Yes,Old,Female,Employed,Metropolitan,-0.295,7,6,6,6,6,54,3,2,5,6,6,6,1,6,4,6,6,1,Yes,No,No,Yes,No,Yes,Yes,Yes,Yes,1,0,0,1,0,1,1,1,1
6963,Government,Dislike,ES,Yes,Mid-Age,Male,Self-employed,Metropolitan,0.933,7,7,7,7,9,45,3,4,5,7,6,6,1,5,3,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6964,Government,Neutral,ES,No,Mid-Age,Female,Employed,Metropolitan,0.319,3,7,6,6,9,49,6,2,5,7,7,4,1,8,4,2,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6965,Government,Dislike,ES,Yes,Mid-Age,Female,Employed,Metropolitan,0.433,3,6,7,7,7,39,6,1,5,6,7,5,1,5,3,3,5,1,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,1,0,1,0,1,1,1,1,1
6966,Government,Neutral,ES,Yes,Old,Male,Retired,Metropolitan,0.706,4,7,7,7,7,55,3,1,5,6,7,4,1,6,4,7,7,7,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,1,1,1,1,1,1,0
6967,Government,Like,ES,Yes,Mid-Age,Male,Employed,Metropolitan,0.933,7,7,7,7,9,36,4,4,5,6,7,5,1,9,4,6,7,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6968,Government,Dislike,ES,Yes,Old,Female,Employed,Metropolitan,-0.681,5,5,6,6,5,62,5,2,5,7,7,4,1,6,3,2,3,2,No,Yes,Yes,No,Yes,No,Yes,Yes,No,0,1,1,0,1,0,1,1,0
6969,Government,Dislike,ES,Yes,Old,Female,Employed,Metropolitan,0.933,7,7,7,7,9,55,6,4,5,7,7,4,1,8,4,1,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6970,Government,Like,ES,Yes,Old,Male,Employed,Metropolitan,0.138,5,7,7,7,2,52,3,5,5,7,7,5,1,1,5,2,5,4,Yes,No,Yes,No,No,No,No,No,No,1,0,1,0,0,0,0,0,0
6971,Government,Neutral,ES,Yes,Young,Female,Employed,Metropolitan,0.933,7,7,7,7,9,26,6,4,5,7,7,5,1,7,2,3,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6972,Government,Dislike,ES,Yes,Mid-Age,Male,Employed,Metropolitan,0.933,2,7,7,7,9,37,3,1,5,7,4,4,1,8,2,1,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6973,Government,Dislike,ES,Yes,Mid-Age,Male,Employed,Metropolitan,0.933,5,7,7,7,9,37,4,2,5,7,7,5,1,8,5,1,1,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6974,Government,Neutral,ES,Yes,Old,Female,Employed,Metropolitan,0.433,1,6,7,7,7,65,5,2,5,7,7,7,1,8,3,1,1,6,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,1,1,0,1,1,1,0,1,1
6975,Government,Neutral,ES,Yes,Young,Female,Student,Metropolitan,0.933,5,7,7,7,9,21,6,3,5,7,7,5,1,6,3,5,5,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6976,Government,Neutral,ES,Yes,Mid-Age,Female,Employed,Metropolitan,0.82,6,7,7,7,8,38,4,1,5,6,7,6,1,8,3,2,2,3,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
6977,Government,Neutral,ES,Yes,Mid-Age,Male,Unemployed,Metropolitan,0.32,3,6,7,7,6,37,5,3,5,5,6,4,2,6,2,4,4,2,Yes,No,No,No,Yes,Yes,Yes,Yes,Yes,1,0,0,0,1,1,1,1,1
6978,Government,Neutral,ES,Yes,Old,Male,Unemployed,Metropolitan,-0.681,5,5,6,6,5,64,3,2,5,5,6,6,7,1,5,3,4,1,No,No,Yes,No,Yes,Yes,No,Yes,Yes,0,0,1,0,1,1,0,1,1
6979,Government,Neutral,ES,Yes,Mid-Age,Female,Employed,Metropolitan,0.661,1,6,7,7,9,46,6,1,5,6,6,5,1,3,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6980,Government,Neutral,ES,Yes,Mid-Age,Female,Employed,Metropolitan,0.319,1,7,6,6,9,42,6,3,5,6,6,3,2,9,4,1,2,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6981,Government,Dislike,ES,Yes,Young,Female,Employed,Metropolitan,0.933,3,7,7,7,9,29,6,4,5,7,7,4,1,8,3,1,7,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6982,Government,Like,ES,Yes,Old,Male,Retired,Metropolitan,0.319,7,7,6,6,9,52,5,2,5,7,7,5,1,2,4,4,3,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6983,Government,Dislike,ES,Yes,Old,Female,Employed,Metropolitan,0.933,7,7,7,7,9,53,6,4,5,7,7,5,1,3,4,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6984,Government,Neutral,ES,Yes,Old,Male,Employed,Metropolitan,0.933,7,7,7,7,9,54,3,3,5,7,7,5,1,3,5,6,6,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6985,Government,Dislike,ES,Yes,Young,Male,Employed,Metropolitan,0.933,7,7,7,7,9,24,6,2,5,6,6,3,1,8,2,3,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6986,Government,Neutral,ES,Yes,Old,Female,Unemployed,Metropolitan,0.661,5,6,7,7,9,57,6,3,5,7,7,4,1,4,3,5,5,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6987,Government,Dislike,ES,Yes,Mid-Age,Female,Unemployed,Metropolitan,0.933,5,7,7,7,9,50,6,3,5,7,7,7,1,8,5,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6988,No Spokesperson,NA,ES,Yes,Mid-Age,Female,Self-employed,City,0.479,3,7,7,7,5,37,6,5,4,7,7,6,1,6,3,2,7,5,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1,0,0,1,1,1,0,1,0
6989,No Spokesperson,NA,ES,Yes,Young,Female,Student,City,-0.249,6,7,6,6,4,22,5,2,4,6,6,3,1,6,4,4,4,1,Yes,No,No,No,Yes,Yes,No,Yes,No,1,0,0,0,1,1,0,1,0
6990,No Spokesperson,NA,ES,Yes,Young,Male,Employed,City,0.933,7,7,7,7,9,25,4,2,4,7,7,5,1,9,2,1,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6991,No Spokesperson,NA,ES,Yes,Old,Female,Self-employed,City,0.046,6,6,6,6,9,67,4,2,4,6,7,6,1,2,5,5,5,6,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6992,No Spokesperson,NA,ES,Yes,Mid-Age,Female,Employed,City,0.933,7,7,7,7,9,50,5,3,4,7,7,7,1,1,4,3,4,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6993,No Spokesperson,NA,ES,Yes,Old,Male,Employed,City,0.933,7,7,7,7,9,57,6,2,4,7,7,4,2,7,4,1,1,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6994,No Spokesperson,NA,ES,Yes,Young,Female,Unemployed,City,0.205,5,7,6,6,8,25,5,2,4,6,7,4,1,3,2,7,2,2,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,0,1,1,1,1,1,1,1
6995,No Spokesperson,NA,ES,Yes,Old,Male,Self-employed,City,0.618,7,7,6,7,9,66,6,4,4,7,7,5,7,6,5,1,1,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6996,No Spokesperson,NA,ES,Yes,Young,Female,Student,City,0.319,5,7,6,6,9,20,4,4,4,7,7,5,1,4,3,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6997,No Spokesperson,NA,ES,Yes,Young,Male,Self-employed,City,-0.408,4,6,6,6,5,24,4,5,4,6,7,5,1,2,3,6,4,4,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1,0,0,1,1,1,0,1,0
6998,No Spokesperson,NA,ES,Yes,Young,Female,Unemployed,City,0.933,5,7,7,7,9,22,5,3,4,7,7,6,1,3,4,3,3,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
6999,No Spokesperson,NA,ES,Yes,Mid-Age,Male,Employed,City,0.091,5,7,6,6,7,43,3,3,4,7,7,5,1,4,4,7,7,1,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,1,0,1,1,1,1,1,1,0
7000,No Spokesperson,NA,ES,Yes,Mid-Age,Female,Employed,City,0.933,7,7,7,7,9,36,6,3,4,7,7,4,1,1,4,2,1,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7001,No Spokesperson,NA,ES,Yes,Old,Female,Unemployed,City,0.82,7,7,7,7,8,59,2,2,4,7,7,4,1,8,5,6,4,7,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
7002,No Spokesperson,NA,ES,Yes,Old,Female,Employed,City,0.479,2,7,7,7,5,54,6,1,4,5,4,5,1,3,3,5,5,1,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1,0,0,1,1,1,0,1,0
7003,No Spokesperson,NA,ES,Yes,Mid-Age,Male,Retired,City,0.933,7,7,7,7,9,39,5,2,4,7,7,5,1,3,3,1,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7004,No Spokesperson,NA,ES,Yes,Mid-Age,Male,Employed,City,0.091,7,7,6,6,7,38,2,2,4,6,7,3,3,2,5,7,3,7,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,1,1,1,0,1,1,1,1,0
7005,No Spokesperson,NA,ES,Yes,Old,Female,Unemployed,City,0.933,2,7,7,7,9,60,6,1,4,7,7,5,1,8,3,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7006,No Spokesperson,NA,ES,Yes,Mid-Age,Female,Self-employed,City,0.933,7,7,7,7,9,45,3,2,4,7,7,6,1,1,4,1,2,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7007,No Spokesperson,NA,ES,Yes,Young,Male,Employed,City,0.618,4,7,6,7,9,24,5,4,4,4,4,4,1,3,5,5,7,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7008,No Spokesperson,NA,ES,Yes,Young,Male,Employed,City,0.618,2,7,6,7,9,28,3,4,4,7,7,6,1,2,2,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7009,No Spokesperson,NA,ES,Yes,Young,Male,Employed,City,-0.91,2,7,4,4,9,32,6,2,4,6,4,3,1,2,4,1,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7010,No Spokesperson,NA,ES,Yes,Young,Female,Employed,City,-0.296,6,7,5,5,9,23,6,4,4,7,7,4,1,2,4,2,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7011,No Spokesperson,NA,ES,Yes,Old,Female,Employed,City,0.933,1,7,7,7,9,60,3,3,4,4,5,3,1,5,4,3,6,5,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7012,No Spokesperson,NA,ES,Yes,Young,Female,Unemployed,City,0.547,6,6,7,7,8,25,6,3,4,5,6,4,1,2,3,7,6,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
7013,No Spokesperson,NA,ES,Yes,Old,Male,Retired,City,0.206,5,6,7,7,5,67,6,2,4,6,6,5,1,7,2,6,6,1,Yes,No,No,Yes,Yes,Yes,No,Yes,No,1,0,0,1,1,1,0,1,0
7014,No Spokesperson,NA,ES,Yes,Young,Female,Employed,City,-2.134,1,4,7,1,5,20,3,6,4,2,6,5,1,3,3,3,1,1,Yes,No,Yes,No,Yes,No,Yes,Yes,No,1,0,1,0,1,0,1,1,0
7015,No Spokesperson,NA,ES,Yes,Old,Male,Employed,City,0.003,1,7,5,6,9,54,1,4,4,7,7,5,1,3,3,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7016,No Spokesperson,NA,ES,Yes,Old,Male,Retired,City,0.706,6,7,7,7,7,64,1,3,4,6,7,5,1,1,4,4,5,7,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,1,0,0,1,1,1,1,1,1
7017,No Spokesperson,NA,ES,Yes,Young,Female,Retired,City,0.933,7,7,7,7,9,32,6,1,4,7,7,3,1,9,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7018,No Spokesperson,NA,ES,Yes,Young,Female,Employed,City,0.82,3,7,7,7,8,32,6,4,4,5,6,4,1,6,3,4,3,4,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,1,1,1,1,1,1,1,1,0
7019,No Spokesperson,NA,ES,Yes,Mid-Age,Male,Employed,City,0.933,7,7,7,7,9,34,4,4,4,6,6,6,1,4,5,4,4,3,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7020,No Spokesperson,NA,ES,Yes,Mid-Age,Female,Employed,City,0.933,7,7,7,7,9,39,4,5,4,7,7,3,1,7,5,3,2,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7022,No Spokesperson,NA,ES,Yes,Old,Female,Employed,City,0.933,4,7,7,7,9,55,4,2,4,7,7,4,1,9,2,5,4,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7023,No Spokesperson,NA,ES,Yes,Young,Female,Unemployed,City,0.388,3,5,7,7,9,24,5,2,4,5,7,4,2,2,2,1,1,1,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
7024,No Spokesperson,NA,ES,Yes,Old,Female,Employed,City,0.706,7,7,7,7,7,67,6,3,4,7,7,5,1,7,5,1,4,6,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,1,0,1,1,1,1,0,1,1
7025,No Spokesperson,NA,ES,Yes,Young,Male,Unemployed,City,0.933,1,7,7,7,9,31,5,2,4,7,7,3,1,5,2,1,1,2,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,1,1,1,1,1,1,1,1,1
